Emotion,Text
Anger,    その 言葉 、 倍 に し て 返す !!
Anger,    総武 ってな ん で いつも 遅れ てる の ?
Anger,    です よ ね !!! 間違え た の は ぐらい で すみ ます けど 、 今日 は 急ブレーキ の せい で 、 電車 の で コケ た ので 、 余計 に イラ でし た 。 まだ 膝 が 痛い
Anger,    カラオケ 行き たい ーーー
Anger,    北朝鮮 、 自国民 を 国外 に 派遣 し て 働かせ 、 報酬 を ピンハネ する って 反 社会 勢力 国家 だ な # happy 0
Anger,    今日 は 、 ハン・ウンジョン の 誕生日 です 。 初めて た の は 、 フルハウス でし た 。 ピ が 片思い する 役 でし た 。 の 発端 は 、 この 二人 の ・ ・ 。 一番 印象 に 残っ て いる の は 、 愛する人 よ でし た 。 愛する人 が 、 お金 に が くらん で ・ ・ 。 本当に 、 可愛 な 役 でし た 。 キム・ドンワン が 最低 人間 の 役 を
Anger,    岐阜駅前 の コンビニマルケー やっ た のに いつのまにか ファミマ に なっ とる し しかも で おろし たら 手数料 0円 とら れる し
Anger,    おい こら 、 こんにゃく め ←
Anger,    プロ 志望 なら ... 阪神 、 清宮 を 0 位 指名 へ 背番号0 後継 構想 スポニチアネックス ... の の 掛布 契約 切れ ? だっ たら 許せ ない ん だ けど
Anger,    日本語 で さえ 大変 な のに なぜ 英語 を 学ば なけれ ば いけ ない ん だ
Anger,    セーフ !! めっちゃ セーフ * ́ ` 笑 、 ほんま ね ! ただ で さえ 嫁 と 姑 は うまい いか ん のに ... ほんま 、 せめて 孫 の お祝い くらい ちゃんと し て 欲しい わ
Anger,    、 どんな 面白い ラジオ で も 、 投稿 し て 読ま れ なけれ ば 、 つまらなく なる ! そして 、 コーナー で 、 が 0回 、 0回 読ま れる そんな 番組 に 、 が 投稿 する か そして 、 ゎ 貝 に なり ます >_<
Anger,    何で 警報 で 学校 ない〜 と かなっ てる ら おる の に 信太 は ある ん や 。 とりあえず 中井 と キム と あま ねん 早 来い
Anger,    こんな 強引 に 押しのけ られ た の 久しぶり や 、 急い でる の は わかる けど 階段 な ん だ 危ない でしょ
Anger,    dm で line 爆撃 すっ ぞ こらぁ
Anger,    タンス に ゴンゴン 、 クローゼット の に は 。 。 。 。 新 cm 気持ち 悪い は 、 可愛く よかっ た けど 、 今度 の は 余りに も 、 くどい 、 気持ち 悪い 、 チャンネル 変え た ! 止め て # タンス に ゴンゴン # クローゼット # 大日本除虫菊
Anger,    マージ で 疲れ た なぁ 汗 あの クソ 昨日 の 夜 も 仕込ん で ねぇ し
Anger,    勝手 に 買っ て き た nbox 欲しかっ た のに
Anger,    だろ 〜 な 〜 って 思っ た よ これから は star ☆ t 中心 ! でしょ ??
Anger,    昨日 舞台 の 話し たく て 行っ た のに 、 が 言う に 匠 くん に 舞台 頑張る ! 言う と 思っ て ! って 言わ れ て お前 話題 泥棒 って なっ た
Anger,    も まだ 0回 くらい しか 使っ て ない ; _ ; かなこ に ちゃんと 指導 し て もらお 笑
Anger,    東海地方 に は か キスマイ を 阻む 結界 が ??
Anger,    なんで ユニバ 行く に 雨 や ねん っ
Anger,    姉ちゃん おはよう ござい ニャンパース 台風 は 日本 に 行く ん だ ね 、 だから すごく 心配 です 姉ちゃん 絶対 を 付け て ください ね それに 最近 めっちゃ 忙し でしょ う ちゃんと に 休ん で ください ね お互い 頑張り ましょ う
Anger,    なんで 〜 部活 〜 おくれる や 〜 ん 渋滞 おこ
Anger,    うん スマステ ;∀; も 落ち込ん でる 未だに 終了 の 意味 が 納得 いか ない 台風 、 本当に だ よ >_< を つける ねー ! yuko も を つけ て ね ~
Anger,    ケンカ か ?
Anger,    太い ら ない
Anger,    言っ た よ 覚え て て くれ て すっごい 嬉しい よ
Anger,    朝 イライラ の 思い 通り に なら ない と すぐ に キレる は 好き に は なれ ない
Anger,    もー ! 雨 ー !!
Anger,    もう ガチャ ひか ん ハガレン も 超獣 も 激 も の コラボ オール 星 0 や で あり え ん 運 ない の か ねぇ ー
Anger,    馬鹿 だ よ ね 〜 もう 羨ましい くらい な のに ほんとう ざい も そんな が 欲しかっ た 〜
Anger,    返事 無く ツイート を 消す とか あり得ない! 断っ て 消せよ ! 非常識 過ぎる !! ずっと 返事 待っ てる のに
Anger,    な ん だ 公式 め ~~ 笑 ひ 、 み 、 つーっ !!?? わぁ だろ だろ ... 楽しみ 増し た ww わくわく し ながら 待っ てる ね o > ω < o
Anger,    撲殺 できる チカラ が ほしい
Anger,    マイク に 向かっ て 直角 に 喋る な
Anger,    寝る は ちゃんと 桃華 に 一言 言い なさい ッ !!
Anger,    じゃ ない です ~!! 文字 だけ な のに 、 腹立ち 要素 が つまり まくっ て ます ね 、 、 !
Anger,    今日 学校 いっ て ちゃんと 0時 まで うける の 褒め て 欲しい 川崎 着く の 早く て 0時 だ よ もう
Anger,    ねー の おしり やら 腕 やら 髪 触っ て き た のに なんで タメ語 笑 えっ こちゃ ん 可愛 すぎ た も 会い たい
Anger,    しかし こいつ の やっ た に まったく 責任 も たん や つや な 鍵 かけて にげる なら 最初 ふざけ た 書き込み する な てか 0 なっ て も やっ て いい 悪いこと わから ない が いる に 驚き そして 常識 ルール が 通じ ない 悟っ た
Anger,    そうそう ! 去年 パソ 持っ て いか なきゃ いけ ない 授業 あっ て 、 毎週 肩 が 死ん で た 。 最初 は 軽い かも ! とか 思っ て た 。 騙さ れ て た
Anger,    同感 !! 昨日 はぁ ー っ って テレビ に 向かっ て 怒っ た w
Anger,    no . 0 井上 ・ 何で って 言わ れ て も な 〜 中元 ・ は あんた を イジメ て た の よ !? か 思いつい た で 中元 に 向き合っ た 井上 井上 ・ 困っ てる を 助ける のに 、 理由 なんて 必要 な の か な ? 中元 ・ 〇〇 ・ バカ でしょ ? 小百合 って 井上 ・ お 〜!!
Anger,    北朝鮮 の ミサイル と 並ん で どんどん 攻撃力 を 整備 し てる 中国 。 あかん やろう 中国 潜水艦 0 隻 態勢 に = 国外 に 拠点 、 活動 拡大 へ - 米 報告書 : 時事ドットコム ...
Anger,    パーソナルスペース が 一切 ない 。
Anger,    みや 嘘 は いかん シャイ に お 会い し た に 嘘つき っ って パンチ 喰らい ます
Anger,    むしろ おごっ て !
Anger,    不具合 わろ た ww 地味 や けど めっちゃ 不便 や わ
Anger,    ちょっと 、 昨日 は 竜 人くん として ないん だ けど と し て き た の
Anger,    有給 使わ せろ や
Anger,    待っ て 中央線 遅延 しとる とか 有り得 ねえ
Anger,    昨日 の ゴロゴロ が すごく て 明日 まで に 治ら なかっ たら 許さ ない
Anger,    カナ 夫婦 に 触発 さ れ て 。 は お 尻 を 鍛える と 決め た ッ
Anger,    ハマスタ の チケ とる けど 三塁 側 全く ない じゃん
Anger,    大丈夫だよ ~ も やっ た そして また 発送 遅い
Anger,    剛 愛染 、 レンジ チン って なっ た 、 よ けろ 。 愛 ミキサー で ガガガッ 出来る 、 待っ て 。 剛 すぐ 終わっ 。 愛 待て って 。 0 ムッ 剛 チン って なっ たって 言っ て ん だろ ? 愛 だ 無理 。 阿 もー 0 とも 朝 チンチン 、 ガーガー 煩い ~ あ 、 僕 の ご飯 も ~
Anger,    不安 は な 不安 しか 生ま ない し ... 好き好き ! と 言っ てる が 、 憶測 に 惑わさ れ て いきなり 『 おい !』 って なる の は ... ねぇ ...
Anger,    トースター に 塗る 好き な は ? ́ ε ` 最近 やっ て ない けど 、 練乳 ニコニコ は ぁぁああああ ?!?!?!
Anger,    頑張っ て ください q ^-^ q 文字 段位 応援 し て ます
Anger,    いつも 行く いこいの広場 な とこ が 取れ なかっ た らしく ... 何で よ お菓子 も 持っ て 来 いかん とこ に 持っ て 来 て た が い た ... とか 言う 理由 で ... くらい いい やろ ? と 言っ て プッチンプリン の 小さい の 持っ て 行き た よ
Anger,    出席 ある よ ね 電車 ノロノロ
Anger,    ホーム に 降り たら 肘 ふっ て き て かれん の 肩に 直撃 し て 普通 に 痛 すぎ て 泣き なっ た 肘 なんか 痛 ない やろう けど かれん の 肩 は 絶対 ヘコ ん だ
Anger,    公明 も 自民 山口 派 と 言っ て 良い か と ゞ `' 、
Anger,    こら ああああ !!!
Anger,    乗換駅 で うんこ し て たら 電車 の が し た 許 な 腹痛
Anger,    なんか ライブ とか 行き たい ヨ 〜 〜 〜 〜 〜 ゥ まだ ミスチル 落選 し た 怒っ てる
Anger,    おはよう * ́ ∇`* ノ 昨日 の イライラ 止ま ん ねえ 〜 今日 は 午後 学校 ハァ ━ - д -; ━ ァ ... 冬眠 し たい
Anger,    も し て い ませ ん よ ! キリッ
Anger,    また 電車 0分 遅れ 朝 の 0分 は 遅れ は 、 〜 に 困る !! ︎
Anger,    小田急 ! 遅延 し なく て 偉い わ ねぇ 〜 って 思っ て たら 山手線 遅れ てる
Anger,    でしょ ー いくら 昨日 の 残り の カレー 使っ た カレーうどん でも さ ! が の 結婚式 に 向け て ダイエット し てる と は いえ さ ! 連絡 し て くれれ ば いい と 思わ ない ?! 久しぶり に 腹 たった わー
Anger,    お金 の 振込 を 忘れ ない
Anger,    こいつ ブレイク まで 行か ない のずる でしょ
