Emotion,Text
Neutral, Why ? 
Joy,Sage Act upgrade on my to do list for tommorow.
Sadness,ON THE WAY TO MY HOMEGIRL BABY FUNERAL!!! MAN I HATE FUNERALS THIS REALLY SHOWS ME HOW BLESSED I AM 
Joy," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . "
Joy,"@Iluvmiasantos ugh babe.. hugggzzz for u .!  babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang "
Fear,I'm expecting an extremely important phonecall any minute now #terror #opportunity
Sadness," .Couldnt wait to see them live. If missing them in NH7 wasnt painful enuf, Suraj 's performing his last gig in delhi. "
Surprise,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten. Nu dus. #derestkomtlaterwel
Surprise,En dan krijg je ff een cadeautje van een tweep #melike
Surprise," @1116am Drummer Boy bij op verzoek van @BiemOosterhof . @frankcornet : welke uitvoering, van wie?"
Anger,"The bull tossed the effigy out of their hands and became very infuriated . "" "
Sadness,People hide their behind a #fake smile.
Joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
Fear,Against the assault of laughter nothing can stand. ~ Mark Twain #emotionalcourage
Anger," With everything , with everybody , with all this ! "
Sadness,"Shakuhachi dress $580,  10-22 mm lens $708 #pain :("
Surprise,"Haha of course I come home to a different house, leave it to my parents to redo the entire downstairs without warning "
Joy,I have a feeling i will fail french #fuckfrench
Joy, Good.Let ' s go now . 
Surprise,"@JuliaLeader I reeeeeellllyyyyyyy need to tell you something, but guess what. My go phone is fucked up. #gotohellmexicanphone"
Sadness," Oh , that's too bad . Should I call a doctor ? "
Joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile."""
Fear,"is a primitive #Instinct that's your friend.It warns you to pay attention when ur in dAnger,it tells you to do or act to save yourself"
Anger,I have to talk to you ! 
Fear,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.
Sadness,you're so welcome @madelineerich8! so glad I could make your night! love you. please don't leave me :( i'm gonna miss you so much! 
Surprise,another ending? i almost pooped my pants at the end of last weeks crazy ending!  #dEcodEd
Joy,One could get terribly ecstatic but that would be a dAngerous thing to do . 
Sadness,So much for losing something.. Going to fat burger for dinner with dad   
Joy,When I was selected to study here at university.
Joy," Yeah , it ’ s been ages ! So how have you been ? "
Fear,is a friend that you misunderstood but I know the #heartoflife is good..
Fear,@nicolescherzy @nicosherzinger &  &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:
Shame,"Nobody doubted him , or failed to recognise his temporary financial embarrassment . "
Fear,The bank had made no secret of their dismay over Virgin 's venture into airlines . 
Joy,When I passed the B.A exams with first class results.
Sadness,homies all go to ride ponies... I look at them like a sad puppy #wanttoride #ankleneedstoheal
Surprise,pop out &amp; roll across the floor !
Sadness,OMG its December 5th and the windows are open at my house. Mr. Winter where are you. Jack frost is missing too. 
Surprise,alleen nog even morgen cadootjes kopen in stadje en dan helemaal klaar 
Surprise," I'm not from this planet, I'm from one of the other planets that hold life &amp; are just being discovered. "
Anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing."
Fear,Few years ago my father was very ill. He stayed at a hospital for a long time. Then I experienced that terrible feeling that I might lose him.
Sadness, I thought they had already agreed to everything . That ’ s going to take weeks to rework . 
Anger,My parents didn't allow me to go to a social function that all my friends were attending.
Fear,"&quot;The family is the bedrock of our society. Unless we protect it with the institution of marriage, our country will fall.&quot;  "
Sadness,Bro team lost... .... Least he played with swag... #freshcut
Joy,When I heard that I had been selected fot the first year at the university of Zambia.  This was after my form five at Chikola secondary school.
Anger,"When someone tried to rape one of my best friends and he claimed it was her fault. He the hassled her, claimed she was loose, and threatened to sue her."
Joy,Welp time to study for the next few days... 
Joy,Heading to campus in the rain to take grad photos 
Fear,My own dismay at the way those kids were savaging the flora of Stonethwaite is a good example . 
Sadness,That moment of terror when you go to drink your hot chocolate knowing its about to burn your mouth. 
Sadness," Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects . "
Sadness,Sink is broken so no  2night: Was going to be lamb..now just pbj! 
Sadness,I apparently lost my best-friend.. 
Fear,“@mattmosley: This is the shakiest 14-point lead in history of college football.” lol 
Fear,"People who get trapped in an elevator actually do take the stairs next time,, don let take over and wear you down .. #quote #life"
Sadness,I very rarely am in desperate need of someone to talk to. Tonight is one of those nights. Everyone is sleeping. I'm at a loss. 
Sadness,When I was a Sr. in HS. one of the class counselors died of hepatitis. She was very sensitive. She knew my shyness and drew me out to improve myself image. I missed her funeral - so I could not publically grieve. My parents didn't understand.
Surprise,Good Morning  What Do You Have In Store For Me Today?!?!... #EnJoyTheDay
Neutral," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
Joy, I am feeling awesome .
Joy,@TheBodyShopUK brings me - I've just bought all my Christmas presents and I didn't have to trawl loads of shops! :)
Surprise,I almost forgot my hair was red until I looked in the mirror 
Fear,When I heard that my father had found a letter from my boyfriend and he was calling me to talk about it.
Fear,results from seeing ourselves walk into a situation w/o the LORD. FAITH is realizing that HE gets there b4 we do.
Fear,She shot him a horrified look . 
Neutral," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
Fear,Not applicable to myself.
Joy,I just shit my pants. Pure 100% gravy. 
Joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
Fear,Two years ago I saw a film on the TV. Even now it makes me afraid.
Joy,Class then jamming out my last paper of the quarter.  No reason to celebrate though. Studying will begin right after. 
Sadness,"NOOOOOO, no pongan super torpe a las 9 de la mañana, entendemos que nadie lo ve, pero yo sí! y no me voy a levantar para verlo "
Fear,Seeing a stray dog run right pass you on Morehouse campus.. 
Neutral, Once in a while . 
Anger,Side effect of not smoking reefer. 
Fear,When I was 12 years old I frequently was pursued by others and got sound thrashes.
Fear,“@FrankyFade: The team is hot  @andrealandis @iammynority @FRISCOLOPEZ @iamthefabian” yes sir
Fear,"Dad , I'm scared . "
Joy,I can't wait to just sleep in tomorrow! I must study tonight and tomorrow and the next night oh and 3 essays due!
Anger,is a juvenile emotion that even the most simple minded creature can express
Anger,"Suppressing her annoyance at being called "" Little Sara "" , she replied that all was well . "
Joy,Now time to unpack and finish some homework 
Surprise,Stopped today for gas in a small town to my an attendant came to tell me &quot;we are full #service. Do you young #tweeters have a clue
Surprise,Can't wait for @siobhanshannonx to open her christmas prezzie #christmas
Surprise,Decorating the entire house with christmas cheer for my mommy. 
